length_of_number_list,function,execution_time,minimum_number
10,find_min_n,1.0715999999799664e-05,0.08015370917850195
10,find_min_n2,1.3759999999862771e-05,0.08015370917850195
100,find_min_n,1.2220999999978943e-05,0.00564508589179924
100,find_min_n2,0.0002867020000003606,0.00564508589179924
1000,find_min_n,9.130699999992942e-05,0.0003019659653311635
1000,find_min_n2,0.04629135299999998,0.0003019659653311635
10000,find_min_n,0.0008177019999999757,0.00016622058251769545
10000,find_min_n2,2.298643545,0.00016622058251769545
100000,find_min_n,0.005043962000000235,1.4142423927610004e-05
100000,find_min_n2,187.338490547,1.4142423927610004e-05
